; 4,0 ; 4,1 ; 4,2 ; 4,3 ; 4,4 ; 4,5 ; 4,6 ; 4,7 ; 4,8 ; 4,9 ; 5,0 ; 5,1 ; 5,2 ; 5,3 ; 5,4 ; 5,5 ; 5,6 ; 5,7 ; 5,8 ; 5,9 ; 6,0 ; 6,1 ; 6,2 ; 6,3 ; 6,4 ; 6,5 ; 6,6 ; 6,7 ; 6,8 ; 6,9 ; 7,0 ; 7,1 ; 7,2 ; 7,3 ; 7,4 ; 7,5 ; 7,6 ; 7,7 ; 7,8 ; 7,9 ; 8,0 ; 8,1 ; 8,2 ; 8,3 
 25,0 ;1006;1027;1049;1071;1094;1118;1142;1166;1191;1216;1243;1269;1296;1324;1352;1381;1411;1441;1472;1503;1535;1568;1602;1636;1671;1707;1743;1780;1819;1857;1897;1938;1979;2021;2065;2109;2154;2200;2247;2295;2344;2394;2446;2498
 25,5 ;1048;1070;1093;1116;1139;1163;1187;1212;1237;1263;1290;1317;1344;1373;1401;1431;1461;1491;1523;1555;1587;1620;1654;1689;1724;1760;1797;1835;1873;1913;1953;1994;2035;2078;2122;2166;2211;2258;2305;2353;2403;2453;2504;2557
 26,0 ;1093;115;1138;1162;1185;1210;1235;1260;1286;1312;1339;1367;1395;1423;1452;1482;1513;1544;1575;1608;1641;1674;1709;1744;1779;1816;1853;1891;1930;1970;2010;2051;2093;2136;2180;2225;2270;2317;2365;2413;1463;2513;2565;2617
 26,5 ;1139;1162;1186;1209;1234;1259;1284;1310;1336;1363;1390;1418;1447;1476;1505;1535;1566;1598;1630;1663;1696;1730;1765;1800;1836;1873;1911;1949;1988;2028;2069;2110;2153;2196;2240;2285;2331;2378;2426;2474;2524;2575;2626;2679
 27,0 ;1188;1211;1235;1259;1284;1309;1335;1361;1388;1415;1443;1471;1500;1530;1560;1591;1622;1654;1686;1719;1753;1788;1823;1858;1895;1932;1970;2009;2048;2089;2130;2171;2214;2258;2302;2347;2393;2440;2488;2537;2587;2638;2690;2743
 27,5 ;1239;1262;1287;1311;1336;1362;1388;1415;1442;1470;1498;1527;1556;1586;1617;1648;1679;1712;1744;1778;1812;1847;1882;1919;1956;1993;2031;2070;2110;2151;2192;2234;2277;2321;2365;2411;2457;2504;2553;2602;2652;2702;2754;2807
 28,0 ;1291;1315;1340;1365;1391;1417;1444;1471;1498;1527;1555;1584;1614;1645;1675;1707;1739;1772;1805;1839;1873;1908;1944;1981;2018;2056;2094;2134;2174;2215;2256;2299;2342;2386;2431;2476;2523;2570;2618;2668;2718;2769;2821;2874
 28,5 ;1346;1371;1396;1422;1448;1474;1501;1529;1557;1585;1615;1644;1674;1705;1736;1768;1801;1834;1867;1902;1936;1972;2008;2045;2082;2121;2160;2199;2240;2281;2322;2365;2408;2453;2498;2543;2590;2638;2686;2735;2785;2837;2889;2942
 29,0 ;1403;1429;1454;1480;1507;1534;1561;1589;1618;1647;1676;1706;1737;1768;1799;1832;1864;1898;1932;1966;2002;2038;2074;2111;2149;2188;2227;2267;2307;2348;2391;2433;2477;2521;2566;2612;2659;2707;2755;2805;2855;2906;2958;3011
 29,5 ;1463;1489;1515;1541;1568;1596;1623;1652;1681;1710;1740;1770;1801;1833;1865;1897;1931;1964;1999;2034;2069;2105;2142;2180;2218;2256;2296;2336;2377;2418;2461;2504;2547;2592;2637;2683;2730;2778;2827;2876;2926;2977;3029;3082
 30,0 ;1525;1551;1578;1605;1632;1660;1688;1717;1746;1776;1806;1837;1868;1900;1933;1966;1999;2033;2068;2103;2139;2175;2212;2250;2289;2328;2367;2408;2449;2490;2533;2576;2620;2665;2710;2756;2803;2851;2899;2949;2999;3050;3102;3155
 30,5 ;1590;1617;1644;1671;1699;1727;1756;1785;1814;1845;1875;1906;1938;1970;2003;2036;2070;2104;2139;2175;2211;2248;2285;2323;2362;2401;2441;2481;2523;2564;2607;2650;2694;2739;2785;2831;2878;2926;2974;3024;3074;3125;3177;3230
 31,0 ;1658;1685;1712;1740;1768;1797;1826;1855;1885;1916;1947;1978;2010;2043;2076;2109;2143;2178;2213;2249;2286;2323;2360;2398;2437;2477;2517;2557;2599;2641;2683;2727;2771;2816;2861;2908;2955;3003;3051;3100;3151;3202;3253;3306
 31,5 ;1729;1756;1783;1812;1840;1869;1898;1928;1959;1990;2021;2053;2085;2118;2151;2185;2220;2254;2290;2326;2363;2400;2438;2476;2515;2555;2595;2636;2677;2719;2762;2806;2850;2895;2940;2987;3034;3081;3130;3179;3229;3280;3332;3384
 32,0 ;1802;1830;1858;1886;1915;1944;1974;2004;2035;2066;2098;2130;2163;2196;2229;2264;2298;2333;2369;2405;2442;2480;2518;2556;2595;2635;2675;2716;2758;2800;2843;2887;2931;2976;3021;2068;3115;3162;3211;3260;3310;3360;3412;3464
 32,5 ;1879;1907;1935;1964;1993;2023;2053;2084;2115;2146;2178;2210;2243;2277;2311;2345;2380;2415;2451;2488;2525;2562;2600;2639;2678;2718;2759;2800;2841;2884;2927;2970;3014;3059;3105;3151;3198;3245;3294;3343;3392;3443;3494;3546
 33,0 ;1959;1987;2016;2045;2075;2105;2135;2166;2197;2229;2261;2294;2327;2360;2395;2429;2464;2500;2536;2573;2610;2647;2686;2725;2764;2804;2844;2885;2927;2969;3012;3056;3100;3145;3190;3236;3283;3331;3379;3427;3477;3527;3578;3630
